query_id,query_source_id,candidate_source_id,control_type,pipeline_query,pipeline_reference,resolution_query,resolution_reference,extractor,aggregator,similarity,seed,model,trial,hypothesis,label_match,raw_score,candidate_score,control_mean,control_median,control_mad,n_controls,fits_score,fits_plus_score,log_ratio
additive:hypothesis:0:H0,43,32,same_pipeline_different_source,synthetic:additive,synthetic:additive,32x32,32x32,identity_residual,mean_8,ncc,20260808,additive,0,H0,False,0.5386845172220242,0.5386845172220242,0.5491941678182223,0.5561777403166117,0.0063880000304678,9,0.967409209443579,0.9685474231949137,-0.03195783172218125
additive:hypothesis:0:H1,32,32,same_pipeline_different_source,synthetic:additive,synthetic:additive,32x32,32x32,identity_residual,mean_8,ncc,20260808,additive,0,H1,True,0.690523303216482,0.690523303216482,0.5184138588093439,0.5169407315213201,0.005823436767072865,9,1.3613552671758722,1.3357881496091837,0.2895214918889903
additive:hypothesis:1:H0,59,17,same_pipeline_different_source,synthetic:additive,synthetic:additive,32x32,32x32,identity_residual,mean_8,ncc,20260808,additive,1,H0,False,0.5569943109390947,0.5569943109390947,0.5367222419798817,0.533488152569992,0.008054553059151592,9,1.0174474090309287,1.0440612565731133,0.043118162617604594
additive:hypothesis:1:H1,17,17,same_pipeline_different_source,synthetic:additive,synthetic:additive,32x32,32x32,identity_residual,mean_8,ncc,20260808,additive,1,H1,True,0.6874905821922948,0.6874905821922948,0.5110917742755724,0.5065420525778028,0.004642354246148672,9,1.3476213127770906,1.3572231144356943,0.305440784755278
additive:hypothesis:2:H0,19,29,same_pipeline_different_source,synthetic:additive,synthetic:additive,32x32,32x32,identity_residual,mean_8,ncc,20260808,additive,2,H0,False,0.5138114432653803,0.5138114432653803,0.525901564210868,0.5247109128759334,0.013310269330293334,9,1.0027230108424592,0.9792276673820004,-0.020991112535415635
additive:hypothesis:2:H1,29,29,same_pipeline_different_source,synthetic:additive,synthetic:additive,32x32,32x32,identity_residual,mean_8,ncc,20260808,additive,2,H1,True,0.7093365606413727,0.7093365606413727,0.5473738697851236,0.5467974129908518,0.003128628936749922,9,1.3164531507666914,1.2972566142211068,0.2602517379007053
additive:hypothesis:3:H0,12,36,same_pipeline_different_source,synthetic:additive,synthetic:additive,32x32,32x32,identity_residual,mean_8,ncc,20260808,additive,3,H0,False,0.5779918317040009,0.5779918317040009,0.5485685825670019,0.5465924086946258,0.005169452046285938,9,1.0559102136359033,1.0574457722242492,0.05585635140290357
additive:hypothesis:3:H1,36,36,same_pipeline_different_source,synthetic:additive,synthetic:additive,32x32,32x32,identity_residual,mean_8,ncc,20260808,additive,3,H1,True,0.6995956347248974,0.6995956347248974,0.5261695705839071,0.5278505967233877,0.010364905137613234,9,1.3583406208431585,1.325366759207265,0.28168922053800843
additive:hypothesis:4:H0,20,36,same_pipeline_different_source,synthetic:additive,synthetic:additive,32x32,32x32,identity_residual,mean_8,ncc,20260808,additive,4,H0,False,0.5166155944284261,0.5166155944284261,0.5185539988452228,0.5184477302226386,0.012370876270138775,9,0.9953646709490351,0.9964661128067324,-0.003540146122532395
additive:hypothesis:4:H1,36,36,same_pipeline_different_source,synthetic:additive,synthetic:additive,32x32,32x32,identity_residual,mean_8,ncc,20260808,additive,4,H1,True,0.7090436189745549,0.7090436189745549,0.5304824967488654,0.532364155704028,0.011848749275629955,9,1.331302130272396,1.3318770833413385,0.2865892880863872
additive:hypothesis:5:H0,44,37,same_pipeline_different_source,synthetic:additive,synthetic:additive,32x32,32x32,identity_residual,mean_8,ncc,20260808,additive,5,H0,False,0.5402069980425395,0.5402069980425395,0.5376968178907859,0.5355761445844079,0.014200727462330365,9,1.029156650183924,1.0086464894020344,0.00860932260045344
additive:hypothesis:5:H1,37,37,same_pipeline_different_source,synthetic:additive,synthetic:additive,32x32,32x32,identity_residual,mean_8,ncc,20260808,additive,5,H1,True,0.6830349934366248,0.6830349934366248,0.5203896042484082,0.5233828185758114,0.002745483744050148,9,1.3009709907869698,1.3050390062387727,0.26623293016610444
additive:hypothesis:6:H0,10,60,same_pipeline_different_source,synthetic:additive,synthetic:additive,32x32,32x32,identity_residual,mean_8,ncc,20260808,additive,6,H0,False,0.5484003460868887,0.5484003460868887,0.5290579516940169,0.5258530950538256,0.005234369380611281,9,0.9896294122476982,1.0428774713796354,0.04198369201280405
additive:hypothesis:6:H1,60,60,same_pipeline_different_source,synthetic:additive,synthetic:additive,32x32,32x32,identity_residual,mean_8,ncc,20260808,additive,6,H1,True,0.6781689128014146,0.6781689128014146,0.5167160092196686,0.5142531689932741,0.00726646751600335,9,1.3017983535719975,1.3187452284038026,0.2766806999636956
additive:hypothesis:7:H0,61,37,same_pipeline_different_source,synthetic:additive,synthetic:additive,32x32,32x32,identity_residual,mean_8,ncc,20260808,additive,7,H0,False,0.543608908010593,0.543608908010593,0.5196760669891436,0.5123747708915111,0.007592230568228775,9,1.0288722162503363,1.0609595532284617,0.05917373753712318
additive:hypothesis:7:H1,37,37,same_pipeline_different_source,synthetic:additive,synthetic:additive,32x32,32x32,identity_residual,mean_8,ncc,20260808,additive,7,H1,True,0.7113195641708076,0.7113195641708076,0.5500923909787763,0.5505932426264973,0.007207578091229294,9,1.2919148095199948,1.2919148095199948,0.25612546628244803
additive:hypothesis:8:H0,62,54,same_pipeline_different_source,synthetic:additive,synthetic:additive,32x32,32x32,identity_residual,mean_8,ncc,20260808,additive,8,H0,False,0.5411964055172684,0.5411964055172684,0.5272876847724602,0.5299960468229218,0.0061239509161086225,9,1.0807114028004916,1.021132909880154,0.020912706890711008
additive:hypothesis:8:H1,54,54,same_pipeline_different_source,synthetic:additive,synthetic:additive,32x32,32x32,identity_residual,mean_8,ncc,20260808,additive,8,H1,True,0.688754512576925,0.688754512576925,0.5452789078707418,0.541032375695263,0.01112982992302558,9,1.2730375177489686,1.2730375177489686,0.24140579105690307
additive:hypothesis:9:H0,61,8,same_pipeline_different_source,synthetic:additive,synthetic:additive,32x32,32x32,identity_residual,mean_8,ncc,20260808,additive,9,H0,False,0.5104735010884092,0.5104735010884092,0.5020888515913071,0.500883906063649,0.005687214794216466,9,1.0294239893920287,1.0191453446770191,0.01896437868849088
