device,pipeline,width,height,template_count,template_sample_ids,fingerprint_path,fingerprint_sha256
D02_Apple_iPhone4s,native,3264,2448,5,D02_Apple_iPhone4s:native:0001|D02_Apple_iPhone4s:native:0002|D02_Apple_iPhone4s:native:0003|D02_Apple_iPhone4s:native:0004|D02_Apple_iPhone4s:native:0005,/mnt/data/jkl/FITS/cache/e01/fingerprints/native/D02_Apple_iPhone4s.npy,6d43ae1b4092ed2ffc1bec3a8eb8d235603be2d8bce467c135d9da36ada664eb
D04_LG_D290,native,3264,2448,5,D04_LG_D290:native:0001|D04_LG_D290:native:0002|D04_LG_D290:native:0003|D04_LG_D290:native:0004|D04_LG_D290:native:0005,/mnt/data/jkl/FITS/cache/e01/fingerprints/native/D04_LG_D290.npy,b95cb3d4d0bc37bb153db73290aa7ed58852cf866e07dad73a7e6b59a98618cf
D05_Apple_iPhone5c,native,3264,2448,5,D05_Apple_iPhone5c:native:0001|D05_Apple_iPhone5c:native:0002|D05_Apple_iPhone5c:native:0003|D05_Apple_iPhone5c:native:0004|D05_Apple_iPhone5c:native:0005,/mnt/data/jkl/FITS/cache/e01/fingerprints/native/D05_Apple_iPhone5c.npy,7f0ef8c493442d6f13a43b980a60022ffb7052265cf77d5a454c8246394e16f5
D15_Apple_iPhone6,native,3264,2448,5,D15_Apple_iPhone6:native:0001|D15_Apple_iPhone6:native:0002|D15_Apple_iPhone6:native:0003|D15_Apple_iPhone6:native:0004|D15_Apple_iPhone6:native:0005,/mnt/data/jkl/FITS/cache/e01/fingerprints/native/D15_Apple_iPhone6.npy,8574fc4bbb625f0e4c7c090e3ad244b0cf8c95f391d4ed1aae6276c05ad8827a
D19_Apple_iPhone6Plus,native,3264,2448,5,D19_Apple_iPhone6Plus:native:0001|D19_Apple_iPhone6Plus:native:0002|D19_Apple_iPhone6Plus:native:0003|D19_Apple_iPhone6Plus:native:0004|D19_Apple_iPhone6Plus:native:0005,/mnt/data/jkl/FITS/cache/e01/fingerprints/native/D19_Apple_iPhone6Plus.npy,914345cb7363be414d64e4e1f0849b1b84e89e8c45e48c49f7f3b4b2f250bd57
D02_Apple_iPhone4s,facebook_high,2048,1536,5,D02_Apple_iPhone4s:facebook_high:0001|D02_Apple_iPhone4s:facebook_high:0002|D02_Apple_iPhone4s:facebook_high:0003|D02_Apple_iPhone4s:facebook_high:0004|D02_Apple_iPhone4s:facebook_high:0005,/mnt/data/jkl/FITS/cache/e01/fingerprints/facebook_high/D02_Apple_iPhone4s.npy,48950ae3e4f6ab8882d69501a80a041f7eace50d50f7e05abe715025608d717d
D04_LG_D290,facebook_high,2048,1536,5,D04_LG_D290:facebook_high:0001|D04_LG_D290:facebook_high:0002|D04_LG_D290:facebook_high:0003|D04_LG_D290:facebook_high:0004|D04_LG_D290:facebook_high:0005,/mnt/data/jkl/FITS/cache/e01/fingerprints/facebook_high/D04_LG_D290.npy,a8820ec54e7d64b7b811f0423a0fdf204fff463187b22af3787f0a30a2da7683
D05_Apple_iPhone5c,facebook_high,2048,1536,5,D05_Apple_iPhone5c:facebook_high:0001|D05_Apple_iPhone5c:facebook_high:0002|D05_Apple_iPhone5c:facebook_high:0003|D05_Apple_iPhone5c:facebook_high:0004|D05_Apple_iPhone5c:facebook_high:0005,/mnt/data/jkl/FITS/cache/e01/fingerprints/facebook_high/D05_Apple_iPhone5c.npy,87146227867030506384cb78734188af81967e0863eda09cb50b0125e1107d87
D15_Apple_iPhone6,facebook_high,2048,1536,5,D15_Apple_iPhone6:facebook_high:0001|D15_Apple_iPhone6:facebook_high:0002|D15_Apple_iPhone6:facebook_high:0003|D15_Apple_iPhone6:facebook_high:0004|D15_Apple_iPhone6:facebook_high:0005,/mnt/data/jkl/FITS/cache/e01/fingerprints/facebook_high/D15_Apple_iPhone6.npy,9789ed3fc50799b2455170c6fa1dec31d9f8c0c60842c105dcb16814eff874ed
D19_Apple_iPhone6Plus,facebook_high,2048,1536,5,D19_Apple_iPhone6Plus:facebook_high:0001|D19_Apple_iPhone6Plus:facebook_high:0002|D19_Apple_iPhone6Plus:facebook_high:0003|D19_Apple_iPhone6Plus:facebook_high:0004|D19_Apple_iPhone6Plus:facebook_high:0005,/mnt/data/jkl/FITS/cache/e01/fingerprints/facebook_high/D19_Apple_iPhone6Plus.npy,d2514250d42293bb2e44c1e065d67ee78690ffe8f36e66654fd9fc156313ae86
D02_Apple_iPhone4s,facebook_low,1224,918,5,D02_Apple_iPhone4s:facebook_low:0001|D02_Apple_iPhone4s:facebook_low:0002|D02_Apple_iPhone4s:facebook_low:0003|D02_Apple_iPhone4s:facebook_low:0004|D02_Apple_iPhone4s:facebook_low:0005,/mnt/data/jkl/FITS/cache/e01/fingerprints/facebook_low/D02_Apple_iPhone4s.npy,bfa6d591b7d9994b6e4d10cfa0bc692921834f9f2237013342b9c3c6752e263d
D04_LG_D290,facebook_low,1224,918,5,D04_LG_D290:facebook_low:0001|D04_LG_D290:facebook_low:0002|D04_LG_D290:facebook_low:0003|D04_LG_D290:facebook_low:0004|D04_LG_D290:facebook_low:0005,/mnt/data/jkl/FITS/cache/e01/fingerprints/facebook_low/D04_LG_D290.npy,addfba1ec184fa901d5f24b62ec3f353abd4361ca6c84ac8658f8af03f0ee696
