method,pipeline,target_far,threshold,calibration_h0_count,test_h0_count,test_h1_count,observed_test_far,observed_test_tpr,test_h0_median,test_h1_median,auroc,average_precision
raw_score,native,0.05,7.015068189387443e-07,100,200,50,0.03,0.98,5.832646068056841e-08,0.00018663429140454148,0.9809,0.984149377593361
raw_score,facebook_high,0.05,3.2692640646727985e-06,100,200,50,0.035,0.8,2.516689809883557e-07,1.2852069652445544e-05,0.8826,0.8682293311630365
raw_score,facebook_low,0.05,5.319068319592773e-06,100,200,50,0.045,0.46,7.567232648650811e-07,4.096531008781345e-06,0.7326,0.6208271403305138
raw_score,whatsapp,0.05,3.253621106416161e-06,100,200,50,0.065,0.84,3.0479895107679527e-07,3.997516125464142e-05,0.9332999999999999,0.9008050518166164
subtraction_score,native,0.05,6.185943138610565e-07,100,200,50,0.035,0.98,-7.186625059694801e-09,0.00018641538665109195,0.9905999999999999,0.9869444444444444
subtraction_score,facebook_high,0.05,2.6352994110967567e-06,100,200,50,0.035,0.8,-1.0310449071259969e-08,1.2055175383187965e-05,0.905,0.8712536494896385
subtraction_score,facebook_low,0.05,4.5440979408370515e-06,100,200,50,0.045,0.46,7.310296451610924e-08,3.196973015023701e-06,0.7395999999999999,0.613377917455664
subtraction_score,whatsapp,0.05,2.5858137926519506e-06,100,200,50,0.06,0.82,-3.5701451594857803e-08,3.9621035173655945e-05,0.9258000000000001,0.8923406433223607
fits_score,native,0.05,76.16771599657238,100,200,50,0.07,0.96,0.8091784723127498,2242.0655658914884,0.9807000000000001,0.915179126092554
fits_score,facebook_high,0.05,38.04831921382193,100,200,50,0.09,0.5,0.8810577155674937,43.96314266482466,0.8240999999999999,0.6074432869365526
fits_score,facebook_low,0.05,44.291853078876194,100,200,50,0.07,0.28,1.2704631100919141,7.365705257567043,0.6662,0.3679940722072523
fits_score,whatsapp,0.05,89.60352939363331,100,200,50,0.035,0.54,0.7425660882578085,107.11755518303065,0.8755999999999999,0.6703234284565467
fits_plus_score,native,0.05,33.6345872337383,100,200,50,0.04,0.96,1.000158770799922,2457.9618459402627,0.9783000000000001,0.9759665593710963
fits_plus_score,facebook_high,0.05,30.091966998625818,100,200,50,0.025,0.54,1.0000304119521246,43.748304647680726,0.8596,0.7467393393284533
fits_plus_score,facebook_low,0.05,38.80390816938587,100,200,50,0.025,0.18,1.0000199198221078,5.307992223646517,0.676,0.46606339865818247
fits_plus_score,whatsapp,0.05,17.006438193654624,100,200,50,0.09,0.78,1.0006207792656214,105.12995416968917,0.9071,0.7265561031786738
